aX,aY,aZ,gX,gY,gZ
-0.704,-0.257,0.614,13.062,7.263,1.038
-0.726,-0.267,0.627,15.259,11.292,1.770
-0.715,-0.278,0.640,16.724,20.508,1.770
-0.712,-0.265,0.672,17.090,29.419,1.099
-0.695,-0.260,0.694,15.259,35.034,0.916
-0.671,-0.288,0.730,12.268,36.987,0.732
-0.631,-0.316,0.761,8.728,32.166,-1.221
-0.603,-0.342,0.784,5.493,20.020,-2.136
-0.604,-0.350,0.784,2.625,6.165,-2.441
-0.626,-0.323,0.740,-0.305,-1.038,-2.136
-0.631,-0.302,0.703,-1.831,2.747,-0.488
-0.630,-0.293,0.665,-1.343,15.198,1.587
-0.618,-0.290,0.648,2.319,30.273,2.930
-0.557,-0.277,0.642,7.080,41.504,3.418
-0.496,-0.278,0.674,12.329,43.579,3.784
-0.467,-0.286,0.714,15.015,36.804,4.883
-0.467,-0.289,0.755,13.611,25.146,7.446
-0.457,-0.280,0.796,9.033,13.611,11.169
-0.502,-0.277,0.820,4.211,5.432,15.625
-0.573,-0.263,0.823,-1.648,3.540,18.738
-0.609,-0.250,0.822,-6.531,8.972,18.677
-0.610,-0.239,0.814,-8.606,16.907,15.930
-0.593,-0.242,0.815,-8.850,18.433,12.573
-0.587,-0.237,0.808,-9.460,10.986,10.254
-0.575,-0.232,0.792,-10.681,0.732,9.521
-0.576,-0.236,0.772,-10.681,-5.859,10.315
-0.575,-0.238,0.766,-8.789,-5.920,10.254
-0.566,-0.251,0.775,-6.104,-1.770,9.338
-0.560,-0.258,0.777,-3.967,2.991,9.583
-0.569,-0.265,0.783,-2.136,5.737,10.803
-0.583,-0.267,0.805,0.122,6.653,12.024
-0.625,-0.263,0.834,1.709,5.554,12.573
-0.672,-0.248,0.828,1.404,4.272,12.451
-0.681,-0.251,0.812,-1.099,5.981,11.108
-0.671,-0.254,0.793,-2.991,9.460,9.094
-0.653,-0.272,0.786,-2.380,12.695,7.874
-0.667,-0.292,0.795,-0.549,15.076,7.751
-0.658,-0.290,0.813,1.221,16.846,6.836
-0.641,-0.286,0.833,1.953,18.188,5.310
-0.628,-0.294,0.847,0.793,19.043,5.493
-0.618,-0.284,0.835,-1.526,21.484,7.141
-0.596,-0.255,0.779,-4.517,27.405,9.338
-0.570,-0.260,0.741,-6.653,35.950,12.024
-0.547,-0.274,0.721,-6.714,43.213,15.320
-0.542,-0.280,0.710,-4.395,47.119,18.616
-0.523,-0.293,0.723,-0.793,47.913,20.935
-0.531,-0.326,0.760,2.197,45.715,22.278
