aX,aY,aZ,gX,gY,gZ
0.289,0.932,0.551,24.902,12.634,-36.682
0.336,0.946,0.567,28.015,17.456,-42.908
0.375,0.955,0.549,32.166,20.813,-49.377
1.152,0.64,0.53,20.935,-49.438,94.971
1.185,0.656,0.524,26.672,-58.899,100.83
1.173,0.603,0.427,34.668,-65.369,105.225
1.123,0.541,0.279,40.71,-66.284,107.056
1.085,0.53,0.213,41.382,-62.256,105.286
1.074,0.588,0.249,37.842,-57.373,101.074
1.074,0.616,0.292,38.879,-53.162,95.947
1.108,0.573,0.386,42.297,-47.546,91.675
1.124,0.496,0.417,39.368,-43.579,87.341
1.066,0.413,0.354,35.4,-40.894,80.505
0.973,0.358,0.321,31.799,-36.255,71.533
0.872,0.379,0.341,27.1,-28.32,62.439
0.826,0.422,0.441,23.56,-17.883,57.129
0.849,0.45,0.526,22.4,-8.728,56.091
0.869,0.453,0.514,23.743,-5.493,55.42
0.863,0.455,0.487,27.161,-5.554,53.04
0.845,0.475,0.478,29.175,-7.141,49.072
0.818,0.503,0.484,27.283,-8.545,43.274
0.767,0.515,0.455,21.606,-8.057,36.194
0.719,0.508,0.421,13.855,-4.333,28.32
0.689,0.515,0.394,4.272,1.526,18.921
0.69,0.551,0.379,-3.906,8.606,9.155
0.72,0.578,0.44,-7.751,16.418,1.099
0.747,0.609,0.54,-12.695,22.949,-4.028
0.74,0.636,0.558,-18.372,26.123,-7.324
0.73,0.664,0.545,-20.996,27.71,-9.277
0.716,0.703,0.53,-20.325,30.457,-10.986
0.704,0.734,0.507,-17.273,34.729,-13.062
0.715,0.751,0.48,-13.184,40.283,-15.686
0.75,0.748,0.459,-6.714,45.227,-19.287
0.798,0.705,0.451,-0.793,48.95,-24.597
0.843,0.651,0.444,-3.235,53.833,-31.799
0.875,0.595,0.438,-10.193,59.937,-40.283
0.906,0.559,0.417,-18.066,65.369,-49.561
0.957,0.541,0.368,-23.193,70.374,-58.838
1.025,0.498,0.322,-24.109,75.195,-66.772
1.104,0.446,0.278,-22.766,79.224,-73.547
1.176,0.402,0.235,-21.606,83.618,-80.444
1.239,0.361,0.205,-23.682,89.05,-86.67
1.284,0.339,0.186,-29.663,93.994,-92.651
1.283,0.338,0.193,-39.124,97.595,-97.107
1.247,0.321,0.222,-50.781,100.891,-99.487
1.213,0.31,0.234,-64.209,102.173,-101.135
1.182,0.3,0.231,-76.66,99.854,-102.478
1.151,0.296,0.198,-86.731,94.788,-104.004
1.134,0.302,0.135,-96.13,87.891,-105.347
1.143,0.327,0.066,-104.126,80.872,-105.713
1.187,0.385,0.007,-108.704,75.5,-105.957
1.236,0.459,-0.007,-106.628,71.899,-106.079
1.229,0.558,0.038,-100.525,70.74,-107.91
1.223,0.676,0.133,-96.802,71.777,-110.596
1.236,0.766,0.254,-92.59,71.899,-105.896
1.275,0.792,0.379,-84.717,68.42,-96.069
1.305,0.774,0.496,-76.05,60.913,-86.06
1.316,0.74,0.538,-64.697,46.814,-76.66
1.282,0.675,0.499,-46.936,27.954,-66.284
1.213,0.609,0.411,-29.48,8.85,-57.739
1.13,0.581,0.307,-17.7,-5.005,-53.467
1.028,0.564,0.213,-9.827,-12.817,-50.842
0.936,0.547,0.142,-1.526,-15.442,-48.95
0.869,0.536,0.101,7.446,-15.015,-46.875
