aX,aY,aZ,gX,gY,gZ
-0.064,0.403,0.809,-288.147,9.216,20.142
-0.043,0.421,0.770,-285.828,7.141,19.470
-0.031,0.396,0.732,-283.386,8.850,18.250
0.004,0.354,0.639,-285.461,8.789,20.996
0.038,0.344,0.557,-292.603,6.104,26.733
0.036,0.342,0.459,-298.157,-2.808,34.180
0.006,0.305,0.359,-298.706,-15.015,42.297
-0.064,0.255,0.299,-296.387,-23.437,49.438
-0.076,0.172,0.244,-294.128,-24.902,53.284
-0.111,0.093,0.169,-296.204,-22.705,54.504
-0.177,0.061,0.073,-302.124,-21.973,55.420
-0.188,0.050,-0.007,-303.955,-21.729,51.453
-0.251,0.054,-0.080,-301.880,-22.034,43.091
-0.251,0.021,-0.164,-295.105,-22.339,34.851
-0.230,-0.001,-0.227,-288.940,-19.409,28.259
-0.265,0.036,-0.257,-284.180,-19.775,24.231
-0.225,0.000,-0.306,-275.574,-20.691,20.325
-0.225,-0.075,-0.368,-269.165,-18.494,15.991
-0.190,-0.121,-0.430,-267.883,-16.846,14.160
-0.151,-0.143,-0.499,-268.372,-16.785,13.489
-0.183,-0.115,-0.564,-268.372,-15.198,13.306
-0.124,-0.106,-0.605,-263.977,-10.742,10.986
-0.103,-0.148,-0.656,-257.935,-7.874,8.179
-0.162,-0.133,-0.720,-252.808,-8.118,7.751
-0.134,-0.113,-0.770,-245.300,-8.057,5.615
-0.107,-0.141,-0.831,-236.633,-7.690,0.977
-0.108,-0.189,-0.911,-228.394,-10.376,-0.793
-0.116,-0.240,-1.013,-223.022,-12.390,0.793
-0.164,-0.265,-1.099,-219.666,-9.399,3.540
-0.156,-0.298,-1.168,-214.905,-4.150,4.211
-0.126,-0.349,-1.263,-209.839,-0.244,2.686
-0.153,-0.359,-1.360,-204.468,0.854,1.831
-0.192,-0.312,-1.435,-195.068,-1.099,0.793
-0.218,-0.297,-1.508,-179.565,-1.038,-3.113
-0.286,-0.307,-1.556,-160.339,4.272,-7.446
-0.313,-0.294,-1.569,-141.724,11.108,-11.353
-0.333,-0.260,-1.543,-124.878,17.029,-17.639
-0.353,-0.234,-1.510,-109.253,22.095,-25.635
-0.314,-0.249,-1.492,-95.093,27.161,-32.898
-0.282,-0.236,-1.479,-85.449,32.043,-38.452
-0.191,-0.199,-1.465,-78.003,33.691,-41.504
-0.088,-0.161,-1.449,-70.007,30.579,-40.283
0.008,-0.122,-1.428,-60.730,21.851,-32.166
0.064,-0.060,-1.370,-51.208,8.118,-18.555
0.059,-0.024,-1.328,-41.382,-8.911,-3.052
0.001,0.004,-1.290,-31.982,-24.597,12.695
