aX,aY,aZ,gX,gY,gZ
0.853,0.346,-0.049,-17.578,-1.648,-31.433
0.858,0.480,-0.009,-24.536,1.709,-25.391
0.855,0.591,-0.020,-32.959,-0.793,-16.174
0.824,0.648,-0.086,-39.429,-8.118,-7.751
0.829,0.637,-0.164,-40.649,-13.550,-3.418
0.872,0.565,-0.198,-36.926,-13.794,-2.014
0.925,0.473,-0.166,-32.471,-10.498,-2.747
0.948,0.401,-0.126,-32.349,-8.850,-4.700
0.915,0.401,-0.130,-38.513,-11.047,-6.897
0.829,0.468,-0.158,-47.668,-14.648,-6.775
0.732,0.531,-0.172,-55.420,-16.235,-3.174
0.667,0.564,-0.231,-58.044,-16.174,2.014
0.624,0.582,-0.284,-55.725,-13.550,6.714
0.647,0.589,-0.275,-49.927,-7.202,9.827
0.736,0.584,-0.261,-42.297,-2.625,10.071
0.826,0.545,-0.243,-33.569,-2.075,6.287
0.904,0.491,-0.195,-25.513,-2.258,-1.465
0.964,0.433,-0.120,-18.372,-2.808,-11.230
1.002,0.419,-0.051,-13.123,-4.822,-22.400
0.961,0.421,-0.018,-11.597,-7.202,-29.419
0.882,0.476,-0.042,-15.381,-10.986,-31.433
0.802,0.505,-0.140,-21.118,-16.846,-27.954
0.776,0.489,-0.248,-22.522,-20.508,-22.766
0.831,0.456,-0.323,-19.653,-18.921,-20.752
0.901,0.427,-0.296,-17.395,-13.916,-22.522
0.925,0.387,-0.209,-16.907,-9.033,-27.222
0.881,0.353,-0.098,-18.860,-6.836,-32.532
0.803,0.369,-0.077,-23.987,-8.484,-35.339
0.703,0.415,-0.180,-27.588,-13.489,-33.569
0.651,0.491,-0.264,-28.442,-14.343,-29.541
0.687,0.539,-0.227,-26.611,-7.874,-25.818
0.782,0.535,-0.156,-20.691,-2.014,-23.560
0.858,0.519,-0.107,-12.512,-2.075,-24.536
0.890,0.480,-0.079,-6.226,-5.798,-27.222
0.869,0.438,-0.106,-1.648,-10.498,-29.602
0.864,0.369,-0.189,1.465,-13.611,-31.128
0.911,0.286,-0.218,5.005,-12.451,-33.630
0.983,0.203,-0.180,6.165,-9.216,-36.987
1.007,0.135,-0.119,3.174,-8.484,-40.588
0.969,0.112,-0.067,-4.761,-9.399,-44.006
0.940,0.148,-0.031,-15.503,-10.620,-44.922
0.885,0.202,-0.168,-24.597,-16.052,-41.992
0.871,0.257,-0.331,-29.907,-19.287,-38.147
0.896,0.292,-0.347,-31.433,-16.174,-35.095
0.883,0.271,-0.220,-28.320,-9.888,-34.119
0.873,0.234,-0.082,-22.949,-4.456,-38.574
0.872,0.249,-0.020,-16.418,-2.808,-44.922
0.839,0.298,-0.020,-11.963,-6.409,-47.119
0.855,0.333,-0.092,-9.766,-10.071,-44.006
0.956,0.290,-0.191,-4.272,-11.780,-40.649
1.075,0.248,-0.208,5.981,-11.353,-41.077
1.124,0.166,-0.161,13.123,-10.986,-43.091
1.104,0.066,-0.114,13.428,-11.292,-46.326
1.041,-0.003,-0.113,7.446,-10.132,-49.866
0.958,-0.001,-0.099,-1.221,-7.568,-51.208
0.902,0.046,-0.104,-6.897,-5.371,-48.645

0.900,-0.741,-0.495,-24.902,26.917,79.590
0.759,-0.786,-0.266,-28.992,27.344,88.806
0.699,-0.606,0.002,-6.226,40.161,89.539
0.862,-0.312,0.129,20.325,52.856,79.346
1.155,-0.108,0.164,34.363,48.889,61.951
1.511,-0.150,0.230,40.161,29.663,36.804
1.886,-0.478,0.220,42.053,3.906,1.099
2.105,-0.791,0.069,41.321,-13.672,-47.791
2.112,-0.689,0.121,29.724,-16.113,-93.872
1.932,-0.369,0.251,2.014,-24.170,-111.877
1.695,-0.052,0.138,-22.766,-36.377,-106.201
1.527,0.326,0.015,-36.011,-38.513,-89.905
1.326,0.691,0.017,-43.701,-39.246,-64.636
1.076,0.883,0.019,-46.204,-41.138,-33.447
0.832,0.999,-0.033,-42.419,-45.227,-1.160
0.590,1.033,-0.104,-34.302,-51.208,24.780
0.405,1.063,-0.237,-26.978,-57.922,39.246
0.238,1.103,-0.446,-32.959,-66.101,46.692
0.173,0.967,-0.722,-47.424,-70.190,51.758
0.145,0.568,-0.878,-45.044,-58.838,61.035
0.261,0.049,-0.851,-40.588,-29.724,58.594
0.565,-0.300,-0.568,-38.269,8.240,34.119
1.015,-0.559,-0.201,-22.278,35.278,7.874
1.353,-0.420,-0.003,-0.122,39.490,-13.489
1.419,-0.099,-0.004,2.441,25.574,-21.118
1.307,0.189,-0.075,-12.451,11.536,-19.714
1.189,0.380,-0.175,-30.029,6.958,-15.259
1.108,0.480,-0.157,-40.833,10.681,-6.836
1.110,0.536,-0.038,-39.856,14.832,3.418
1.196,0.549,-0.089,-29.297,15.076,13.977
1.325,0.488,-0.207,-12.939,11.719,16.235
1.459,0.356,-0.224,-0.183,9.888,8.850
1.546,0.170,-0.250,1.160,8.362,-4.517
1.562,-0.027,-0.269,-5.249,5.493,-19.897
1.513,-0.127,-0.283,-18.188,3.662,-31.921
1.393,-0.085,-0.306,-36.987,2.258,-38.818
1.237,0.060,-0.320,-58.411,1.770,-39.124
1.103,0.250,-0.315,-78.613,0.793,-34.546
1.026,0.454,-0.295,-96.252,-0.671,-27.832
1.016,0.653,-0.295,-108.704,-3.662,-20.691
1.063,0.832,-0.303,-109.802,-7.202,-15.442
1.184,0.988,-0.292,-94.055,-6.592,-14.221
1.318,1.114,-0.251,-62.988,-0.793,-15.198
1.375,1.189,-0.171,-27.283,7.446,-14.771
1.373,1.194,-0.109,2.991,13.306,-11.475
1.364,1.139,-0.102,24.475,13.184,-7.690
1.340,0.992,-0.147,35.828,8.911,-3.967
1.273,0.749,-0.248,36.743,4.456,-0.549
