aX,aY,aZ,gX,gY,gZ
-0.061,-0.953,-0.493,-83.923,-23.315,56.519
-0.124,-0.908,-0.507,-86.914,-22.217,56.213
-0.209,-0.854,-0.505,-80.566,-17.212,55.298
-0.27,-0.845,-0.508,-64.026,-8.789,55.176
-0.293,-0.812,-0.567,-41.931,-0.977,54.321
-0.269,-0.818,-0.687,-20.874,6.104,54.26
-0.24,-0.799,-0.744,-2.991,14.648,52.612
-0.191,-0.865,-0.751,12.817,23.132,52.795
-0.154,-0.936,-0.711,21.606,30.884,50.232
-0.189,-3.281,-0.588,-13.733,-40.222,-5.31
-0.054,-3.174,-0.166,3.906,-15.076,-68.97
-0.235,-1.132,0.065,91.003,17.212,-34.119
0.171,-1.133,-0.798,107.056,5.432,-8.789
0.215,-0.99,-0.719,56.824,7.385,-13.428
0.372,-0.83,-0.568,-2.075,8.301,-14.832
0.475,-0.744,-0.443,-39.734,2.197,-9.46
0.48,-0.7,-0.349,-53.589,-4.578,-3.235
0.373,-0.767,-0.319,-46.509,-12.207,3.479
0.259,-0.815,-0.304,-32.166,-15.808,6.775
0.151,-0.89,-0.303,-15.747,-12.878,7.996
0.053,-0.961,-0.256,-0.977,-4.456,6.226
0.066,-0.972,-0.19,12.817,5.554,2.38
0.035,-0.915,-0.184,21.973,12.024,-2.38
0.053,-0.949,-0.223,30.823,14.343,-6.836
-0.008,-0.913,-0.299,32.532,15.747,-12.756
0.003,-0.901,-0.355,32.104,16.052,-17.578
-0.015,-0.916,-0.394,30.212,16.724,-22.034
-0.028,-0.944,-0.371,28.32,17.944,-24.658
-0.047,-0.996,-0.424,26.855,14.832,-26.184
-0.052,-1.022,-0.445,26.978,13.489,-29.419
-0.063,-1.004,-0.471,27.283,13.977,-30.396
-0.09,-0.996,-0.493,28.015,15.869,-28.503
-0.027,-0.976,-0.451,29.419,19.348,-25.879
0.018,-0.955,-0.418,28.931,18.677,-21.606
0.027,-0.94,-0.424,28.931,14.648,-17.151
0.002,-0.929,-0.466,29.297,10.376,-13.428
-0.007,-0.912,-0.486,26.917,9.399,-10.559
-0.032,-0.885,-0.518,23.56,7.996,-8.179
-0.059,-0.878,-0.569,23.56,5.249,-6.409
-0.002,-0.94,-0.54,21.423,3.662,-3.418
0.013,-0.975,-0.529,12.207,-0.793,2.136
0.011,-0.985,-0.532,3.54,-4.639,8.484
0.015,-0.985,-0.541,-4.15,-8.118,15.259
0.016,-0.984,-0.54,-11.78,-12.451,22.156
0.018,-0.984,-0.523,-19.592,-16.724,28.809
-0.012,-1.007,-0.491,-26.733,-19.775,34.79
-0.012,-0.998,-0.45,-30.09,-22.217,37.903
0.016,-0.97,-0.408,-30.151,-21.545,39.307
-0.023,-0.984,-0.416,-27.039,-18.677,38.452
-0.041,-0.963,-0.435,-25.208,-10.925,32.349
0.249,-0.865,-0.324,-27.222,-0.977,25.391
0.22,-0.937,-0.334,-24.902,0.977,22.217
0.18,-0.906,-0.333,-19.287,1.038,10.925
0.246,-0.808,-0.348,-20.508,2.991,2.075
0.278,-0.746,-0.409,-19.714,3.845,-0.732
0.299,-0.768,-0.397,-14.648,5.371,-1.709
0.163,-0.919,-0.42,-9.277,3.235,-4.272
0.131,-0.964,-0.399,-9.155,4.15,-10.681
0.12,-0.973,-0.378,-9.216,7.629,-14.832
0.102,-0.979,-0.382,-4.089,8.118,-17.09
0.091,-0.975,-0.39,1.099,8.423,-17.09
0.085,-0.967,-0.398,4.395,8.179,-15.93
0.08,-0.959,-0.402,6.287,6.958,-14.282
0.076,-0.954,-0.406,6.775,5.981,-12.451
0.074,-0.952,-0.411,6.897,5.127,-10.315
0.073,-0.954,-0.417,6.653,4.15,-8.301
0.076,-0.959,-0.427,5.676,3.357,-6.104
0.071,-0.962,-0.43,3.479,2.686,-3.784
0.07,-0.961,-0.424,0.549,2.197,-2.014
0.096,-0.95,-0.395,-2.93,2.136,0.244
0.09,-0.943,-0.395,-4.944,-0.061,2.441
0.076,-0.941,-0.405,-5.371,-1.526,3.113
0.078,-0.929,-0.406,-6.348,-0.305,2.686
0.078,-0.925,-0.407,-6.348,0.122,0.854
0.082,-0.932,-0.408,-5.859,1.099,-1.282
0.086,-0.941,-0.406,-5.676,1.77,-3.174
0.089,-0.951,-0.402,-5.371,2.808,-4.944
